Key;vi
M001_E002_P1_L6;"{thuytinh_ev004_1}"
M001_E003_P1_L1;"<WordWrap>OH CRAP!<br>YOU'RE ADVENTURERS!"
M001_E020_P1_L2;"zzZZZZZZZZZZZ"
M001_E020_P2_L1;"Huh????<br>..............<br>.............."
M001_E020_P3_L1;"zzZZZZZZZZZZZMình đan ở đâu đây?"
M002_E001_P1_L2;"tesxtds"
M002_E001_P1_L24;"Fuck"
M002_E001_P2_L1;"Completed?"
M002_E009_P1_L2;"tesxtdsPls help"
M002_E009_P1_L26;"Fuck"
M002_E009_P2_L1;"Found him?"
M002_E010_P2_L1;"Hello. I'm LongLong... I...M....LOST...<br>Please HEL..P M...EEEEEE"
M002_E011_P1_L4;"Help me to find 500G?"
M002_E011_P1_L18;"Fuck"
M002_E011_P2_L7;"còn nghèo lắm ku \V[1]"
M002_E014_P1_L4;"Hello everybody <br> my name is KB"
M003_E001_P1_L29;"{Map003_EV001_Sontinh_1}"
M003_E001_P1_L31;"{Map003_EV001_MyNuong_1}"
M003_E001_P1_L33;"{Map003_EV001_thuytinh_1}"
M003_E001_P1_L40;"{Map003_EV001_sontinh_2}"
M003_E001_P1_L64;"{Map003_EV001_thuytinh_2}"
M003_E001_P1_L66;"{Map003_EV001_thuytinh_3}"
M003_E001_P1_L68;"{Map003_EV001_MyNuong_2}"
M003_E001_P1_L86;"{Map003_EV001_sontinh_3}"
M003_E001_P1_L88;"OK..."
M003_E002_P2_L21;"{Map003_EV002_sontinh1}"
M003_E002_P2_L23;"{Map003_EV002_mynuong_1}"
M003_E007_P1_L10;"<Map003_EV007_stair>"
M003_E008_P1_L9;"{Map003_EV008_sontinh_4}"
M003_E008_P1_L16;"{Map003_EV008_sontinh_1}"
M003_E008_P1_L23;"{Map003_EV008_sontinh_2}"
M003_E008_P1_L30;"{Map003_EV008_sontinh_3}"
M003_E008_P1_L62;"........."
M003_E008_P2_L3;"..."
M003_E008_P2_L15;"{Map003_EV008_2_sontinh_1}"
M003_E008_P2_L18;"{Map003_EV008_2_sontinh_2}"
M003_E008_P2_L21;"{Map003_EV008_2_sontinh_3}"
M003_E008_P2_L24;"{Map003_EV008_2_sontinh_4}"
M003_E008_P2_L27;"{Map003_EV008_2_sontinh_5}"
M004_E014_P1_L1;"Hey..."
M004_E014_P1_L35;"{michau_Michau1_1}"
M004_E014_P1_L41;"{michau_Michau1_2}"
M004_E014_P1_L44;"{sontinh_Text1}"
M004_E014_P1_L51;"{thuytinh_Text1}"
M004_E014_P1_L55;"{michau_Michau1_3}"
